Product Name,Date Certified,Certification Expiry,Days to Certify
HTS Archive Export Tool v1.x,6/11/2026,6/11/2029,335
Bilateral Enterprise Analysis Model (BEAM) v5.x,,,
SAS Institute JMP Pro v19.x,,,
Enthought Deployment Manager (EDM) v4.x,,,
Mobatek MobaXterm Professional Edition v25.x,,,
ABB RobotStudio v2025.5,,,
BlueBeam Revu Complete v21.x,,,
MATLAB vr2026b,,,
Snagit v2026.x,,,
Figma v124.X,,,
Java Developer Kit v8.x,,,
Oil Analysis Program External (OAPEx) v2.x,,,
Tableau Desktop v26.x,,,
Tableau Prep Builder v26.x,,,
Encryption Wizard (EW) Unified Edition v4.x,,,
Cyber Workspace v1.x,,,
Ansys License Manager v2025 r1,,,
Plant Simulation v2606.x,,,
ANSYS nCode v2026r1,,,
Teamcenter Lifecycle Visualization v2606.x,,,
IDEAL vre1,,,
NX v2606.x,,,
Process Simulate v2408.x,,,
Keysight EW Threat Simulation View v7.x,,,
Contingency Quarters Management Accountability Platform (CQMAP) v1.x,,,
WARHAWK vpi-25.b.01,,,
ProPricer Goverment Edition v9.x,,,
Monarch Data Prep Studio v2025.x,,,
Merlin 2025 v1.x,,,
ANSYS Structures and Discovery v2025 r2,,,
Acumen Suite v8.x,,,
RapidAuthor for Teamcenter v2512.x,,,
Minitab Statistical Software v22.x,,,
SketchUp Import v3.x,,,
HP Scan - Basic Software and Driver v63.x,,,
eTOLD by Teledyne (E-4B) v2.x,,,
Data Preparation System (DaPS) v3.x,,,
CSPortal (CTS) v22.x,,,
Materialise Magics v30.x,,,
Autodesk Inventor 2026 v30.x,,,
Ansys STK Enterprise v13.x,,,
TCMax v9.x,,,
PowerShell v7.x,,,
Framework Manager v12.x,,,
AnyLogic Professional v8.x,7/2/2026,10/31/2027,413
JT2Go v2606.x,7/31/2026,6/30/2027,3
Capital Client v2408,7/30/2026,12/31/2027,735
TOAP Publish Builder v1.x,7/30/2026,7/30/2029,0
Microsoft Purview Information Protection Client v3.x,,,
Page Functions API v3.x,7/24/2026,7/24/2029,3
SAi Flexi COMPLETE v26.x,,,
Board Office Add-in v15.x,7/24/2026,7/24/2029,90
Microsoft On-Premises Data Gateway v3000.x,,,
RADES Software 4 (RS4) Suite v1.x,,,
Avaya Workplace v3.x,,,
Fortify Software Security Center Server v25.x,,,
APPTRICITY (Web App) v9.x,,,
Empyrean v5.x,7/20/2026,7/20/2029,81
Electronic Standards Management Req Toolset (eSMART) v8.x,,,
Autodesk DWG TrueView 2027 v26.x,,,
RADES Software 4 (RS4) Suite v1.x,,,
Cameo Enterprise Architecture 2026x,7/17/2026,7/17/2029,128
Air Conformity Applicability Model (ACAM) v5.x,7/16/2026,7/16/2029,76
Autodesk AutoCAD 2026 v25.x,,,
WinEst Pro Plus v16.x,5/28/2026,5/28/2029,362
Google Earth Pro v7.x,,,
FARO Zone 2D v2025,,,
Security Explorer v9.x,,,
ChangeGear Desktop Client v9.x,,,
SDL Trados Studio 2024 Professional v18.x,,,
Board v15.x,,,
Cameo Enterprise Architecture 2024 Version 2024.x,7/8/2026,7/8/2029,448
Blade Validate  (BVD) v5.x,7/8/2026,7/8/2029,77
Immersive Wisdom v4.x,,,
SolidWorks Professional v2026,,,
SSH Tectia v7.x,,,
Common Environment Test Integrator (CETI) v2.x,,,
MARK IV-B Forecaster Application Viewer v12.x,,,
Deltek Open Plan Professional v8.x,,,
Tactical Hardware Test Facility (THTF) vR7.88,,,
Tactical Hardware Test Facility (THTF) vE7.x,,,
Target Acquisition Weapons Software (TAWS) v9.x,,,
ARTICULATE 360 v3.x,,,
Simio RPS Edition (Node Lock License) v20.x,7/1/2026,11/14/2028,152
OpenText Functional Testing v26,,,
7-Zip v26.x,5/19/2026,5/19/2029,0
JMP v17.x,,,
ViewMate Essentials v12.x,6/26/2026,6/26/2029,42
Data Interactive Visualization Analysis (DIVA) v2.x,,,
Data Interactive Visualization  Analysis (DIVA) Mosaic v2.x,,,
ERIS (ERAM Route Impact Planning System) Beam v1.x,,,
Quick Terrain Reader v8.x,,,
LVD CADMAN-B v8.x,,,
Fortify Static Code Analyzer (SCA) v26.x,6/23/2026,6/23/2029,7
ImageIn v2.x,,,
Datalink v3.x,,,
UltraEdit v33.x,6/15/2026,6/15/2029,296
Design Expert v25.x,6/15/2026,6/15/2029,116
Interactive Analysis Display System (IADS) v9x,6/16/2026,6/16/2029,81
Macrium Reflect X v10.x,6/12/2026,6/12/2029,37
erwin Data Modeler v15.x,,,
Risky Project v7.x,6/12/2026,6/12/2026,122
CREATE-Radio Frequency (RF) Aurora v9.x,6/12/2026,6/12/2029,472
Financial Database v1.x,6/12/2026,6/12/2029,38
KC-135 Quick Reference Handbook (QRH) v2.x,6/12/2026,11/14/2028,9
FSP Mobile v2.x,6/12/2026,6/12/2029,48
Qlik NPrinting Designer v17.x,,,
Multi-link Translator and Display System (MTDS) v7.x,,,
Infragistics Professional v24.x,,,
US Mission Planning Software v1.x,,,
Affinity Software Suite 3 Program Bundle v3.x,,,
CSSA Advanced Recording Message Analysis (CARMA) v4.x,6/5/2026,11/14/2028,119
INSIGHT v3.x,6/5/2026,11/14/2028,72
Parts Configuration Management System (PCMS) - Graphical User Interface (GUI) v3.x,6/5/2026,6/5/2029,1
Fortify Static Code Analyzer _SCA_ v24.X,,,
NDE Toolbox v1.x,6/4/2026,6/4/2029,1023
Data Transfer Toolset (DTT) v2.x,6/3/2026,11/14/2028,15
Inkit v1.x,5/8/2026,5/8/2029,267
Solidworks Electrical Professional 2026 v34.x,6/2/2026,7/30/2028,123
ArcGIS Drone2Map v2026.x,6/1/2026,6/1/2029,277
Part Number Database (PNDB) Editor v3.x,6/1/2026,6/1/2029,2
Fidelity Pointwise v2025.x,5/27/2026,12/15/2027,42
T-38 Avionics Logistics Environment v25.x,5/27/2026,11/14/2028,68
DataAggregator v3.x,5/27/2026,11/14/2028,92
Threat Response Processor Mission Data Generator (TRP MDG) v5.x,5/27/2026,5/27/2029,26
Fusion 2026 v2026.x,,,
GRID Bulk Loader v1.x,5/22/2026,5/26/2029,1
Camtasia v26.x,5/21/2026,5/21/2029,86
Electronic 2875 System (e2875) v1.x,5/21/2026,5/21/2029,117
Part Number Database (PNDB) Viewer v3.x,5/20/2026,5/20/2029,0
Arbortext Editor v8.x,5/13/2026,5/13/2029,5
PixEdit Desktop v8.x,5/19/2026,5/19/2029,7
Permissions Reporter v5.x,5/18/2026,11/14/2028,268
Very Improved Execute Plan Report (VIPER) v1.x,5/14/2026,5/14/2029,62
Cisco Packet Tracer v9.x,,,
Notepad++ v8x,5/8/2026,5/8/2029,8
A-TEAM Loader v1.x,5/8/2026,5/8/2029,0
T-38A TOLD v7.x,,,
Visual Studio Community 2026 v18.x,,,
ASP.NET 10.0 Core v80.x,4/30/2026,7/14/2028,79
Crystal Ball (64 Bit) v11.x,4/30/2026,7/31/2028,65
Specialized Electronic Combat Tools Reprogramming Environment (SPECTRE) v4.x,,,
Fortify Static Code Analyzer (SCA) Client v25.x,4/27/2026,4/27/2029,12
LabView Professional v26.x,,,
Weapons Management Interface v1.x,4/27/2026,4/27/2029,144
ChangeGear Suite (Web) v9.x,,,
Power CLI v13.x,,,
PowerLOGJ2 PLJ2 v13.x,4/23/2026,4/23/2029,71
AMRAAM Raytheon Simulation v9.x,3/23/2026,3/23/2028,243
X1 Search v11.x,4/16/2026,4/16/2029,287
MinicondaDTO vpy311 v24.x,9/25/2024,9/25/2026,32
Data Integrity Wrapper (DIW) v1.x,4/14/2026,4/14/2029,257
FileLocator Pro v9.x,4/10/2026,4/10/2029,351
Personal Computer Debrief System (PCDS) v7.x,4/8/2026,4/8/2029,320
Remedial Action Cost Engineering and Requirements (RACER) v11.x,4/8/2026,4/8/2029,194
Broad Application for Multi-Point Fatigue (BAMpF) v8.x,4/6/2026,4/6/2029,10
Transparent Screen Lock SMART 64 v7.x,,,
OMEGA v1.3,,,
Power BI Report Builder v15.7.1814.616,,,
Arbor text isoview v9.x,,,
BadgerWare v1.x,4/1/2026,11/14/2028,69
CorelDRAW Graphics Suite v26.x,,,
Computerized optimization model for predicting and analyzing support structures (COMPASS) v7.x,4/1/2026,4/1/2029,112
EditPad Pro v8.x,3/31/2026,3/31/2029,11
GR2Analyst v3.x,3/31/2026,3/31/2029,11
EZ Audit v19.x,,,
Analyze v15.x,3/24/2026,3/24/2029,32
Structural Evaluation System (SES) v4.x,3/25/2026,3/25/2029,1
Probability Of Failure (PROF) v3.x,3/25/2026,3/25/2029,1
Altair SAS Language Compiler (SLC) Hub 2025 v2025.x,3/24/2026,3/24/2029,530
RFeye Site v1.x,,,
T-38C Mission Debrief System v11.x,3/24/2026,3/24/2029,4
Automated Cost Estimating Integrated Tools (ACEIT) v8.x,3/24/2026,3/24/2029,6
Global Procedure Designer (GPD) v6.x,3/20/2026,9/30/2028,55
EasyPower v25.x,,,
System Planning and Requirement Software (SYSPARS) v2.x,3/17/2026,3/17/2029,97
Simcenter FLOEFD v2406,,,
Cameo Enterprise Architecture 2024x vrefresh3,,,
IBM Rational DOORS Client v9.x,,,
ALQ-184 Mission Data Generator _MDG_ v9.9,,,
Master Threat Database (MTD) v13.x,,,
Multi-System EW Reprogramming Integrated Toolset (MERITS) v13.x,,,
Mattermost Enterprise Edition v6.x,3/16/2026,3/16/2029,109
Sharegate v25.x,,,
Contingency Quarters Management Accountability Platform (CQMAP)1.x,,,
Column Row Operator (CRO) v1.x,3/5/2026,3/5/2029,64
Teamcenter v2406,,,
