Name,Version,Publisher,Suite Name,Suite Version,EOL Date,EOL Details
7-Zip,21.00 alpha,Igor Pavlov,,,Not Researched,Information not available for individual software or unlisted suites.
7-Zip ,22.01,Igor Pavlov,,,Not Researched,Information not available for individual software or unlisted suites.
File App - NGTS ,(unknown),(unknown),,,Not Researched,Information not available for individual software or unlisted suites.
File App - AMIE,1.18.0,(unknown),,,Not Researched,Information not available for individual software or unlisted suites.
File App - PowerCLI ,12.6.0,(unknown),,,Not Researched,Information not available for individual software or unlisted suites.
File App - New Instructor Link (SONOMARC),4.11.5.11,(unknown),,,Not Researched,Information not available for individual software or unlisted suites.
File App - New Instructor Link,4.12,(unknown),,,Not Researched,Information not available for individual software or unlisted suites.
File App - Vulnerator ,6.19,(unknown),,,Not Researched,Information not available for individual software or unlisted suites.
Active Directory Authentication Library for SQL Server,14.0.800.90,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Adobe Flash Player 29 NPAPI,29.0.0.171,Adobe Systems Incorporated,,,Not Researched,Information not available for individual software or unlisted suites.
Adobe Reader XI ,11.0.10,Adobe Systems Incorporated,,,Not Researched,Information not available for individual software or unlisted suites.
Anaconda3  (Python 3.8.5 64-bit),2020.11,Anaconda, Inc.,,,Not Researched,Information not available for individual software or unlisted suites.
App Protection,20.8.0.67,Citrix Systems, Inc.,,,Version Dependent,Current Releases (CR) reach EOL 18 months after release.
AppProtection,24.2.0.18,Citrix Systems, Inc.,,,Version Dependent,Current Releases (CR) reach EOL 18 months after release.
ASSET,6.1.5.0,NRO,,,Not Researched,Information not available for individual software or unlisted suites.
ASSET,5.1.0,OSO,,,Not Researched,Information not available for individual software or unlisted suites.
ASSET,6.1.3,NRO,,,Not Researched,Information not available for individual software or unlisted suites.
ASSET ,6.1.5,NRO,,,Not Researched,Information not available for individual software or unlisted suites.
ATOMM,1.9.0.107,JSIL,,,Not Researched,Information not available for individual software or unlisted suites.
BC3,3.1.9,Raytheon Solipsys,,,Not Researched,Information not available for individual software or unlisted suites.
BSI Prerequisites version,1.0.0,BSI,,,Not Researched,Information not available for individual software or unlisted suites.
C2Core Client,3.14.1,Polaris Alpha, LLC,,,Not Researched,Information not available for individual software or unlisted suites.
Citrix Authentication Manager,24.2.0.25,Citrix Systems, Inc.,Citrix Workspace Suite,24.2.0,Version Dependent,Current Releases (CR) reach EOL 18 months after release.
Citrix Authentication Manager,19.12.5000.1,Citrix Systems, Inc.,Citrix Workspace Suite,19.12.5000,2024-12-31,EOL for 1912 LTSR.
Citrix Screen Casting for Windows,19.11.100.52,Citrix Systems, Inc,Citrix Workspace Suite,19.11.100,Version Dependent,Current Releases (CR) reach EOL 18 months after release.
Citrix Web Helper,24.2.0.92,Citrix Systems, Inc.,Citrix Workspace Suite,24.2.0,Version Dependent,Current Releases (CR) reach EOL 18 months after release.
Citrix Web Helper,19.12.5000.2,Citrix Systems, Inc.,Citrix Workspace Suite,19.12.5000,2024-12-31,EOL for 1912 LTSR.
Citrix Workspace ,19.12.5000.3,Citrix Systems, Inc.,Citrix Workspace Suite,19.12.5000,2024-12-31,EOL for 1912 LTSR.
Citrix Workspace ,24.2.0.172,Citrix Systems, Inc.,Citrix Workspace Suite,24.2.0,Version Dependent,Current Releases (CR) reach EOL 18 months after release.
Citrix Workspace Inside,24.2.0.60,Citrix Systems, Inc.,Citrix Workspace Suite,24.2.0,Version Dependent,Current Releases (CR) reach EOL 18 months after release.
Citrix Workspace Inside,19.12.5000.65534,Citrix Systems, Inc.,Citrix Workspace Suite,19.12.5000,2024-12-31,EOL for 1912 LTSR.
Citrix Workspace(Aero),19.12.5000.3,Citrix Systems, Inc.,Citrix Workspace Suite,19.12.5000,2024-12-31,EOL for 1912 LTSR.
Citrix Workspace(DV),24.2.0.187,Citrix Systems, Inc.,Citrix Workspace Suite,24.2.0,Version Dependent,Current Releases (CR) reach EOL 18 months after release.
Citrix Workspace(DV),19.12.5000.3,Citrix Systems, Inc.,Citrix Workspace Suite,19.12.5000,2024-12-31,EOL for 1912 LTSR.
Citrix Workspace(SSON),19.12.5000.3,Citrix Systems, Inc.,Citrix Workspace Suite,19.12.5000,2024-12-31,EOL for 1912 LTSR.
Citrix Workspace(USB),24.2.0.187,Citrix Systems, Inc.,Citrix Workspace Suite,24.2.0,Version Dependent,Current Releases (CR) reach EOL 18 months after release.
Citrix Workspace(USB),19.12.5000.3,Citrix Systems, Inc.,Citrix Workspace Suite,19.12.5000,2024-12-31,EOL for 1912 LTSR.
CNIP API,1.2.0.7,Aeronix,,,Not Researched,Information not available for individual software or unlisted suites.
Converter,1.8.2.36,JSIL,,,Not Researched,Information not available for individual software or unlisted suites.
CPAS-MPRINS,1.2.6,JHU/APL,,,Not Researched,Information not available for individual software or unlisted suites.
DCiDE (All Users),1.2.3,DPSS,DPSS Suite,1.2,Not Researched,Information not available for individual software or unlisted suites.
DIEE (All Users),2.3.1,DPSS,DPSS Suite,2.3,Not Researched,Information not available for individual software or unlisted suites.
DIEE (All Users),2.3.0,DPSS,DPSS Suite,2.3,Not Researched,Information not available for individual software or unlisted suites.
DIEE (All Users),2.0.10,DPSS,,,Not Researched,Information not available for individual software or unlisted suites.
DPSS Image Manager (All Users),1.3.90,DPSS,DPSS Suite,1.3,Not Researched,Information not available for individual software or unlisted suites.
DPSS Image Manager (All Users),1.2.62.11105,DPSS,DPSS Suite,1.2,Not Researched,Information not available for individual software or unlisted suites.
DPSS Image Manager (All Users),1.2.60.9667,DPSS,DPSS Suite,1.2,Not Researched,Information not available for individual software or unlisted suites.
DSC version ,15.64.230429,Battlespace Simulations,,,Not Researched,Information not available for individual software or unlisted suites.
GeoBridge Module,5.3.1.486,JSIL,,,Not Researched,Information not available for individual software or unlisted suites.
GEOTRANS,1.0.0.0,LSC,,,Not Researched,Information not available for individual software or unlisted suites.
GIANT ,5.4.2.1,AFSPC,,,Not Researched,Information not available for individual software or unlisted suites.
Git,2.48.1,The Git Development Community,,,Not Researched,Information not available for individual software or unlisted suites.
Git,2.37.1,The Git Development Community,,,Not Researched,Information not available for individual software or unlisted suites.
Google Chrome,135.0.7049.42,Google LLC,,,Not Researched,Information not available for individual software or unlisted suites.
Google Chrome,127.0.6533.100,Google LLC,,,Not Researched,Information not available for individual software or unlisted suites.
Google Chrome,115.0.5790.110,Google LLC,,,Not Researched,Information not available for individual software or unlisted suites.
Google Chrome,109.0.5414.120,Google LLC,,,Not Researched,Information not available for individual software or unlisted suites.
Google Chrome,103.0.5060.66,Google LLC,,,Not Researched,Information not available for individual software or unlisted suites.
Google Earth EC,7.3.4.8248,Google,,,Not Researched,Information not available for individual software or unlisted suites.
Herramientas de corrección de Microsoft Office 2016 español,16.0.4266.1001,Microsoft Corporation,Microsoft Office 2016,16.0.4266.1001,2025-10-14,All support, including security fixes, will end.
Horizon HTML5 Multimedia Redirection Client,8.14.0,Omnissa, LLC.,,,Version Dependent,Support varies by branch. E.g., v2212 support ends July 12, 2026.
Immersive Wisdom version,3.1.0.15,Immersive Wisdom,,,Not Researched,Information not available for individual software or unlisted suites.
Immersive Wisdom version ,3.31.20,Immersive Wisdom,,,Not Researched,Information not available for individual software or unlisted suites.
Immersive Wisdom version ,3.60.8,Immersive Wisdom,,,Not Researched,Information not available for individual software or unlisted suites.
IMOM ,8.9.0.6028,INL,,,Not Researched,Information not available for individual software or unlisted suites.
JADOCS Client,2.0.1.0,FD,,,Not Researched,Information not available for individual software or unlisted suites.
JADOCS Manuals,2.0.1.0,FD,,,Not Researched,Information not available for individual software or unlisted suites.
Java 7 Update 51,7.0.510,Oracle,Java,7.0.510,Not Researched,Information not available for individual software or unlisted suites.
Java 8 Update 341,8.0.3410.10,Oracle Corporation,Java,8.0.3410.10,Not Researched,Information not available for individual software or unlisted suites.
Java 8 Update 341 (64-bit),8.0.3410.10,Oracle Corporation,Java,8.0.3410.10,Not Researched,Information not available for individual software or unlisted suites.
Java 8 Update 351,8.0.3510.10,Oracle Corporation,Java,8.0.3510.10,Not Researched,Information not available for individual software or unlisted suites.
Java 8 Update 351 (64-bit),8.0.3510.10,Oracle Corporation,Java,8.0.3510.10,Not Researched,Information not available for individual software or unlisted suites.
Java 8 Update 361,8.0.3610.9,Oracle Corporation,Java,8.0.3610.9,Not Researched,Information not available for individual software or unlisted suites.
Java 8 Update 361 (64-bit),8.0.3610.9,Oracle Corporation,Java,8.0.3610.9,Not Researched,Information not available for individual software or unlisted suites.
Java 8 Update 371,8.0.3710.11,Oracle Corporation,Java,8.0.3710.11,Not Researched,Information not available for individual software or unlisted suites.
Java 8 Update 371 (64-bit),8.0.3710.11,Oracle Corporation,Java,8.0.3710.11,Not Researched,Information not available for individual software or unlisted suites.
Java 8 Update 51 (64-bit),8.0.510,Oracle Corporation,Java,8.0.510,Not Researched,Information not available for individual software or unlisted suites.
Java Auto Updater,2.8.51.16,Oracle Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Java Auto Updater,2.1.9.8,Sun Microsystems, Inc.,,,Not Researched,Information not available for individual software or unlisted suites.
Java SE Development Kit 8 Update 411,8.0.4110.9,Oracle Corporation,Java,8.0.4110.9,Not Researched,Information not available for individual software or unlisted suites.
Java SE Development Kit 8 Update 411 (64-bit),8.0.4110.9,Oracle Corporation,Java,8.0.4110.9,Not Researched,Information not available for individual software or unlisted suites.
JDAM BLU-109 Plug-In  (32-bit, .NET 4.5, USA),5.11.0.3,The Boeing Company,,,Not Researched,Information not available for individual software or unlisted suites.
JDAM MK-82 Plug-In  (32-bit, .NET 4.5, USA),5.12.2.3,The Boeing Company,,,Not Researched,Information not available for individual software or unlisted suites.
JRE Client 5.3,5.3,Engility Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
JSIL License Validation,2.0.1.55692,Joint Systems Integration Laboratory (JSIL),,,Not Researched,Information not available for individual software or unlisted suites.
JWS 2.3,2.3.10.91,Joint Technical Coordinating Group for Munitions Effectiveness,,,Not Researched,Information not available for individual software or unlisted suites.
JWS 2.4,2.4.1,Joint Technical Coordinating Group for Munitions Effectiveness,,,Not Researched,Information not available for individual software or unlisted suites.
JWS 2.4,2.4.00.00,Joint Technical Coordinating Group for Munitions Effectiveness,,,Not Researched,Information not available for individual software or unlisted suites.
Link 16 Bridge,1.1.0.631,JSIL,,,Not Researched,Information not available for individual software or unlisted suites.
LJDAM BLU-109 Plug-In v5.12.2.3 (32-bit, .NET 4.5, USA),5.12.2.3,The Boeing Company,,,Not Researched,Information not available for individual software or unlisted suites.
LJDAM MK-82 Plug-In v5.11.0.3 (32-bit, .NET 4.5, USA),5.11.0.3,The Boeing Company,,,Not Researched,Information not available for individual software or unlisted suites.
LJDAM MK-82 Plug-In v5.12.2.3 (32-bit, .NET 4.5, USA),5.12.2.3,The Boeing Company,,,Not Researched,Information not available for individual software or unlisted suites.
LMMT TNM v2.2,2.2.0.0,SPAWAR,,,Not Researched,Information not available for individual software or unlisted suites.
MADRAT,17.2.0.50,JSIL,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft .NET Framework 4 Multi-Targeting Pack,4.0.30319,Microsoft Corporation,Microsoft .NET,4,Not Researched,Information not available for individual software or unlisted suites.
Microsoft .NET Framework 4.5 Multi-Targeting Pack,4.5.50710,Microsoft Corporation,Microsoft .NET,4.5,Not Researched,Information not available for individual software or unlisted suites.
Microsoft .NET Framework 4.5.1 Multi-Targeting Pack,4.5.50932,Microsoft Corporation,Microsoft .NET,4.5,Not Researched,Information not available for individual software or unlisted suites.
Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU),4.5.50932,Microsoft Corporation,Microsoft .NET,4.5,Not Researched,Information not available for individual software or unlisted suites.
Microsoft .NET Framework 4.5.1 SDK,4.5.51641,Microsoft Corporation,Microsoft .NET,4.5,Not Researched,Information not available for individual software or unlisted suites.
Microsoft .NET Framework 4.5.2 Multi-Targeting Pack,4.5.51209,Microsoft Corporation,Microsoft .NET,4.5,Not Researched,Information not available for individual software or unlisted suites.
Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU),4.5.51209,Microsoft Corporation,Microsoft .NET,4.5,Not Researched,Information not available for individual software or unlisted suites.
Microsoft .NET Host - 6.0.14 (x64),48.59.55225,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft .NET Host - 6.0.25 (x86),48.100.4028,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft .NET Host - 6.0.32 (x64),48.128.16743,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft .NET Host - 8.0.11 (x64),64.44.23191,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft .NET Host FX Resolver - 6.0.14 (x64),48.59.55225,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft .NET Host FX Resolver - 6.0.25 (x86),48.100.4028,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft .NET Host FX Resolver - 6.0.32 (x64),48.128.16743,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft .NET Host FX Resolver - 8.0.11 (x64),64.44.23191,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft .NET Runtime - 6.0.14 (x64),48.59.55225,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft .NET Runtime - 6.0.25 (x86),48.100.4028,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft .NET Runtime - 6.0.32 (x64),48.128.16743,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft .NET Runtime - 8.0.11 (x64),64.44.23191,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Access database engine 2010 (English),14.0.7015.1000,Microsoft Corporation,Microsoft Office 2016,16.0.4266.1001,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Access database engine 2016 (English),16.0.5044.1000,Microsoft Corporation,Microsoft Office 2016,16.0.4266.1001,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Access database engine 2016 (English),16.0.4519.1000,Microsoft Corporation,Microsoft Office 2016,16.0.4266.1001,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Analysis Services OLE DB Provider,14.0.800.90,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Build Tools 14.0 (amd64),14.0.23107,Microsoft Corporation,Microsoft Visual Studio,2015,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Build Tools 14.0 (x86),14.0.23107,Microsoft Corporation,Microsoft Visual Studio,2015,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Build Tools Language Resources 14.0 (amd64),14.0.23107,Microsoft Corporation,Microsoft Visual Studio,2015,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Build Tools Language Resources 14.0 (x86),14.0.23107,Microsoft Corporation,Microsoft Visual Studio,2015,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Edge,122.0.2365.80,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Edge,115.0.1901.203,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Edge,114.0.1823.67,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Edge,114.0.1823.58,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Edge WebView2 Runtime,120.0.2210.144,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Excel MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,Microsoft Office 2016,16.0.4266.1001,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Help Viewer 2.2,2.2.23107,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft ODBC Driver 13 for SQL Server,14.0.800.90,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Office 64-bit Components 2016,16.0.4266.1001,Microsoft Corporation,Microsoft Office 2016,16.0.4266.1001,2025-10-14,All support, including security fixes, will end.
