Name,Version,Publisher
Microsoft Update Health Tools,5.72.0.0,Microsoft Corporation
Mozilla Firefox (x64 en-US),141,Mozilla
Mozilla Maintenance Service,141,Mozilla
Realtek USB Audio,6.4.0.393,Realtek Semiconductor Corp.
Windows Subsystem for Linux,2.5.9.0,Microsoft Corporation
.NET for Android Templates (x64),35.0.39.0,Microsoft Corporation
.NET MAUI SDK (x64),9.0.14.0,Microsoft Corporation
.NET MAUI SDK (x64),8.0.100.0,Microsoft Corporation
.NET MAUI Templates (x64),8.0.100.0,Microsoft Corporation
.NET MAUI Templates (x64),9.0.14.0,Microsoft Corporation
Adobe Acrobat (64-bit),25.001.20577,Adobe
Application Verifier x64 External Package,10.1.22000.832,Microsoft
Application Verifier x64 External Package,10.1.18362.1,Microsoft
Application Verifier x64 External Package,10.1.19041.685,Microsoft
Application Verifier x64 External Package (DesktopEditions),10.1.26100.2454,Microsoft
Application Verifier x64 External Package (DesktopEditions),10.1.22621.3233,Microsoft
Application Verifier x64 External Package (OnecoreUAP),10.1.22621.3233,Microsoft
Application Verifier x64 External Package (OnecoreUAP),10.1.26100.2454,Microsoft
DiagnosticsHub_CollectionService,17.12.35318,Microsoft Corporation
Docker Desktop,4.40.0,Docker Inc.
Git,2.49.0,The Git Development Community
icecap_collection_x64,17.13.35716,Microsoft Corporation
IIS 10.0 Express,10.0.08608,Microsoft Corporation
IIS Express Application Compatibility Database for x64,,
IIS Express Application Compatibility Database for x86,,
IntelliTraceProfilerProxy,15.0.21225.01,Microsoft Corporation
Microsoft .NET 8.0 Templates 8.0.407 (x64),32.11.54254,Microsoft Corporation
Microsoft .NET 9.0 Templates 9.0.201 (x64),36.9.54273,Microsoft Corporation
Microsoft .NET AppHost Pack - 8.0.14 (x64),64.56.29490,Microsoft Corporation
Microsoft .NET AppHost Pack - 8.0.14 (x64_arm64),64.56.29490,Microsoft Corporation
Microsoft .NET AppHost Pack - 8.0.14 (x64_x86),64.56.29490,Microsoft Corporation
Microsoft .NET AppHost Pack - 9.0.3 (x64),72.12.29501,Microsoft Corporation
Microsoft .NET AppHost Pack - 9.0.3 (x64_arm64),72.12.29501,Microsoft Corporation
Microsoft .NET AppHost Pack - 9.0.3 (x64_x86),72.12.29501,Microsoft Corporation
Microsoft .NET Host - 9.0.3 (x64),72.12.29501,Microsoft Corporation
Microsoft .NET Host FX Resolver - 9.0.3 (x64),72.12.29501,Microsoft Corporation
Microsoft .NET Runtime - 8.0.14 (x64),64.56.29490,Microsoft Corporation
Microsoft .NET Runtime - 9.0.3 (x64),72.12.29501,Microsoft Corporation
Microsoft .NET SDK 9.0.201 (x64) from Visual Studio,9.2.125.11329,Microsoft Corporation
Microsoft .NET Standard Targeting Pack - 2.1.0 (x64),24.0.28113,Microsoft Corporation
Microsoft .NET Targeting Pack - 8.0.14 (x64),64.56.29490,Microsoft Corporation
Microsoft .NET Targeting Pack - 9.0.3 (x64),72.12.29501,Microsoft Corporation
Microsoft .NET Toolset 9.0.201 (x64),36.9.21505,Microsoft Corporation
Microsoft ASP.NET Core 8.0.14 Shared Framework (x64),8.0.14.25112,Microsoft Corporation
Microsoft ASP.NET Core 8.0.14 Targeting Pack (x64),8.0.14.25112,Microsoft Corporation
Microsoft ASP.NET Core 9.0.3 Shared Framework (x64),9.0.3.25112,Microsoft Corporation
Microsoft ASP.NET Core 9.0.3 Targeting Pack (x64),9.0.3.25112,Microsoft Corporation
Microsoft ASP.NET Core Module for IIS Express,12.2.18292.0,Microsoft Corporation
Microsoft ASP.NET Core Module V2 for IIS Express,17.0.22116.0,Microsoft Corporation
Microsoft Azure Authoring Tools - v2.9.7,2.9.8999.45,Microsoft Corporation
Microsoft Azure Compute Emulator - v2.9.7,2.9.8999.43,Microsoft Corporation
Microsoft Azure Compute Emulator - v2.9.7,2.9.8999.43,Microsoft Corporation
Microsoft Azure Libraries for .NET – v2.9,3.0.2404.2502,Microsoft Corporation
Microsoft Command Line Utilities 15 for SQL Server,15.0.1300.359,Microsoft Corporation
Microsoft ODBC Driver 17 for SQL Server,17.10.6.1,Microsoft Corporation
Microsoft SQL Server 2019 LocalDB,15.0.4382.1,Microsoft
Microsoft System CLR Types for SQL Server 2019,15.0.2000.5,Microsoft Corporation
Microsoft Teams Meeting Add-in for Microsoft Office,1.25.14602,Microsoft Corporation
Microsoft Update Health Tools,5.72.0.0,Microsoft Corporation
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.42.34438,14.42.34438,Microsoft Corporation
Microsoft Visual C++ 2022 X64 Debug Runtime - 14.42.34438,14.42.34438,Microsoft Corporation
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.42.34438,14.42.34438,Microsoft Corporation
Microsoft Visual Studio Installer,3.13.2069.59209,Microsoft Corporation
Microsoft Web Deploy 4.0,10.0.8305,Microsoft Corporation
Microsoft Windows Desktop Runtime - 8.0.14 (x64),64.56.29521,Microsoft Corporation
Microsoft Windows Desktop Runtime - 9.0.3 (x64),72.12.29522,Microsoft Corporation
Microsoft Windows Desktop Targeting Pack - 8.0.14 (x64),64.56.29521,Microsoft Corporation
Microsoft Windows Desktop Targeting Pack - 9.0.3 (x64),72.12.29522,Microsoft Corporation
Microsoft.Android.Ref.35 (x64),35.0.39.0,Microsoft Corporation
Microsoft.Android.Runtime.35.android-arm (x64),35.0.39.0,Microsoft Corporation
Microsoft.Android.Runtime.35.android-arm64 (x64),35.0.39.0,Microsoft Corporation
Microsoft.Android.Runtime.35.android-x64 (x64),35.0.39.0,Microsoft Corporation
Microsoft.Android.Runtime.35.android-x86 (x64),35.0.39.0,Microsoft Corporation
Microsoft.Android.Sdk.Windows (x64),34.0.147.0,Microsoft Corporation
